id;official;date;author;toaq;is_a_lexeme;audio;class;frame;distribution;generics;noun_classes;slot_tags;tags;examples;target_language;definition_type;definition;notes;gloss;keywords;segmentation;etymology;related;derived;synonyms;antonyms;hypernyms;hyponyms;comments;score;votes
GqFEFJR4TI;False;2018-09-18T18:27:53.000Z;spreadsheet;mıu hủıtūa;False;[];;;;;;[];[];[];eng;informal;blame;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
TRSa-FwRjiz;False;2018-09-18T18:27:53.000Z;spreadsheet;ruaq hủıtūa;False;[];;;;;;[];[];[];eng;informal;blame;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
7fqQsyP3JL;False;2018-09-18T18:27:53.000Z;spreadsheet;huadūo;True;[];;;;;;[];[];[];eng;informal;body movement;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
0ylnNUmfAg;False;2018-09-18T18:27:58.000Z;spreadsheet;soılūaq;True;[];;;;;;[];[];[];eng;informal;compete;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
eO1MA6FOIv;False;2018-09-18T18:28:00.000Z;spreadsheet;chuqchūo;True;[];;;;;;[];[];[];eng;informal;cutlery;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
nHYTO0e6jl;False;2018-09-18T18:28:01.000Z;spreadsheet;toakūe;True;[];;;;;;[];[];[];eng;informal;dictionary (book);[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
4n3MtlkSAW;False;2018-09-18T18:28:02.000Z;spreadsheet;chaocāq;True;[];;;;;;[];[];[];eng;informal;drive (operate vehicle);[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
oqZ3twxK5D;False;2018-09-18T18:28:04.000Z;spreadsheet;moegāq;True;[];;;;;;[];[];[];eng;informal;empathy;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2019-01-18T21:27:58.000Z'), ('author', 'seaqtaq')]), OrderedDict([('content', '-1, formatting'), ('date', '2019-05-19T00:58:27.521Z'), ('author', 'seaqtaq')]), OrderedDict([('content', '-1, formatting'), ('date', '2019-05-19T00:58:31.398Z'), ('author', 'seaqtaq')])];0;OrderedDict([('seaqtaq', 1), ('Ilmen', -1)])
O0yQ0LN7zn;False;2018-09-18T18:28:04.000Z;spreadsheet;faosīa;True;[];;;;;;[];[];[];eng;informal;endless;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
Uo_BIq2NND;False;2018-09-18T18:28:04.000Z;spreadsheet;caımōe;True;[];;;;;;[];[];[];eng;informal;excited;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2019-01-12T01:55:32.000Z'), ('author', 'fagri')]), OrderedDict([('content', '+1'), ('date', '2019-01-18T21:27:44.000Z'), ('author', 'seaqtaq')]), OrderedDict([('content', '-1, formatting'), ('date', '2019-05-19T00:55:42.000Z'), ('author', 'seaqtaq')]), OrderedDict([('content', '-1, formatting'), ('date', '2019-05-19T00:55:46.557Z'), ('author', 'seaqtaq')]), OrderedDict([('content', '-1, formatting'), ('date', '2019-05-19T00:55:49.236Z'), ('author', 'seaqtaq')])];0;OrderedDict([('fagri', 1), ('seaqtaq', 1), ('uakci', -1), ('Ilmen', -1)])
q2zLq_70-m;False;2018-09-18T18:28:06.000Z;spreadsheet;taomōe;True;[];;;;;;[];[];[];eng;informal;feel like doing;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2019-01-18T21:27:52.000Z'), ('author', 'seaqtaq')])];0;OrderedDict([('seaqtaq', 1), ('Ilmen', -1)])
tO-pRmXOn;False;2018-09-18T18:28:11.000Z;spreadsheet;seoqhīe;True;[];;;;;;[];[];[];eng;informal;grasshopper;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
RU8ABM1za5;False;2018-09-18T18:28:15.000Z;spreadsheet;pukāo;True;[];;;;;;[];[];[];eng;informal;history;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
r1YhopqIti;False;2018-09-18T18:28:21.000Z;spreadsheet;luaofūo;True;[];;;;;;[];[];[];eng;informal;kiss;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
QBNlY63_Tn;False;2018-09-18T18:28:21.000Z;spreadsheet;haqbāıkūa;False;[];;;;;;[];[];[];eng;informal;kitchen (cook KUA);[];;;;[];[];[];[];[];[];[];"[OrderedDict([('content', '+1; found in (ARG.2).'), ('date', '2018-10-28T15:56:54.000Z'), ('author', 'uakci')])]";0;OrderedDict([('uakci', 1), ('Ilmen', -1)])
e2S8yIuU-_;False;2018-09-18T18:28:22.000Z;spreadsheet;fafīa;True;[];;;;;;[];[];[];eng;informal;lead (gidva);[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
aisQnrPSNF;False;2018-09-18T18:28:22.000Z;spreadsheet;kaıtōaı;False;[];;;;;;[];[];[];eng;informal;letter, character, lerfu;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
1ntrYuvgb2;False;2018-09-18T18:28:30.000Z;spreadsheet;sımō;True;[];;;;;;[];[];[];eng;informal;monkey;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
L87aYLtBiT;False;2018-09-18T18:28:32.000Z;spreadsheet;fuqcīa;True;[];;;;;;[];[];[];eng;informal;naked;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
aRjUFrH07i;False;2018-09-18T18:28:33.000Z;spreadsheet;juagīq;True;[];;;;;;[];[];[];eng;informal;normal (not strange);[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
TM_gThV8W4;False;2018-09-18T18:28:34.000Z;spreadsheet;reıdūo;True;[];;;;;;[];[];[];eng;informal;orbit ⓥ;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
-MVNTN0O5w;False;2018-09-18T18:28:39.000Z;spreadsheet;buamē;True;[];;;;;;[];[];[];eng;informal;population;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
