id;official;date;author;toaq;is_a_lexeme;audio;class;frame;distribution;generics;noun_classes;slot_tags;tags;examples;target_language;definition_type;definition;notes;gloss;keywords;segmentation;etymology;related;derived;synonyms;antonyms;hypernyms;hyponyms;comments;score;votes
At-Lmdnmh;False;2018-09-17T22:31:52.000Z;lynn;nuotōq;True;[];;;;;;[];[];[];eng;informal;predicate: ▯ is a mattress / pallet / futon.;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', 'also “futōq” as in Japanese 布団'), ('date', '2018-09-17T23:09:41.000Z'), ('author', 'uakci')])];0;OrderedDict()
EtlQGQHyi;False;2018-09-17T23:12:01.000Z;uakci;futōq;True;[];;;;;;[];[];[];eng;informal;predicate: ▯ is a mattress / pallet / futon.;['(fork of #At-Lmdnmh)'];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
B4pMirQWb;False;2018-09-17T23:13:03.000Z;uakci;mı hỏemāı;False;[];;;;;;[];[];[];eng;informal;▯ is @solpahi.;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
mXXJ3NuzM;False;2018-09-18T13:47:27.000Z;Ilmen;kulō;True;[];;;;;;[];[];[];eng;informal;▯ is a mosquito.;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2019-05-12T21:12:32.276Z'), ('author', 'Hoemai')])];2;OrderedDict([('Hoemai', 1), ('Ilmen', 1)])
5ERB0NX5B;False;2018-09-18T18:27:47.000Z;spreadsheet;fıamē;True;[];;;;;;[];[];[];eng;informal;▯ is the sequence beginning with ▯ (followed by ▯ (followed by ▯ (…)));[];;;;[];[];[];[];[];[];[];[];2;OrderedDict([('Ilmen', 1), ('uakci', 1)])
GBPhD8Uvkr;False;2018-09-18T18:27:50.000Z;spreadsheet;rıaıkūq;True;[];;;;;;[];[];[];eng;informal;argue that;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '-1, spatial metaphors for #riai are not valid.'), ('date', '2018-12-29T21:03:37.000Z'), ('author', 'uakci')]), OrderedDict([('content', '+1 YOU are not valid'), ('date', '2019-01-24T12:16:07.000Z'), ('author', 'seaqtaq')])];0;OrderedDict([('uakci', -1), ('seaqtaq', 1)])
DIVfLlzwzR;False;2018-09-18T18:27:51.000Z;spreadsheet;mu choqdāı;False;[];;;;;;[];[];[];eng;informal;available;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
TRSa-FwRjiz;False;2018-09-18T18:27:53.000Z;spreadsheet;ruaq hủıtūa;False;[];;;;;;[];[];[];eng;informal;blame;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
bW2jV1ZKkg;False;2018-09-18T18:27:53.000Z;spreadsheet;rıodūo;True;[];;;;;;[];[];[];eng;informal;blow (vi);[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
7fqQsyP3JL;False;2018-09-18T18:27:53.000Z;spreadsheet;huaduo;True;[];;;;;;[];[];[];eng;informal;body movement;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
t1TIuybMTu;False;2018-09-18T18:27:53.000Z;spreadsheet;teasōıcaı;True;[];;;;;;[];[];[];eng;informal;brave;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
PizltdJQg6Q;False;2018-09-18T18:27:54.000Z;spreadsheet;rıocīu;True;[];;;;;;[];[];[];eng;informal;burp/fart ();[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
odd6W7gnyv5;False;2018-09-18T18:27:54.000Z;spreadsheet;deaqnīetūa;True;[];;;;;;[];[];[];eng;informal;bury;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
YUnYWrEzQ2;False;2018-09-18T18:27:54.000Z;spreadsheet;gıohōaqbēaq;True;[];;;;;;[];[];[];eng;informal;candle;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
9rOSzDtN4S;False;2018-09-18T18:27:54.000Z;spreadsheet;hoaqbēaq;True;[];;;;;;[];[];[];eng;informal;candle;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
GfH21YMqrK;False;2018-09-18T18:27:55.000Z;spreadsheet;hıaodāısī;True;[];;;;;;[];[];[];eng;informal;careful;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
pfD3AnUMRw;False;2018-09-18T18:27:55.000Z;spreadsheet;hıaosī;True;[];;;;;;[];[];[];eng;informal;careful;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
zjFlaz1Q9lV;False;2018-09-18T18:27:55.000Z;spreadsheet;caıjīo;True;[];;;;;;[];[];[];eng;informal;castle;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
-HWEt3L1Jb;False;2018-09-18T18:27:55.000Z;spreadsheet;deaqgīq;True;[];;;;;;[];[];[];eng;informal;ceiling;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
