id;official;date;author;toaq;is_a_lexeme;audio;class;frame;distribution;generics;noun_classes;slot_tags;tags;examples;translations;segmentations;etymologies;related;derived;similar;antonyms;hypernyms;hyponyms;comments;score;votes
At-Lmdnmh;False;2018-09-17T22:31:52.000Z;lynn;['nuotōq', 'futōq'];True;[];;;;;;[];[];[];[{'language': 'eng', 'definition_type': 'informal', 'definition': 'predicate: ▯ is a mattress / pallet / futon.', 'notes': ['(fork of #At-Lmdnmh)'], 'gloss': '', 'keywords': ''}];[];[];[];[];[];[];[];[];[OrderedDict([('content', 'also “futōq” as in Japanese 布団'), ('date', '2018-09-17T23:09:41.000Z'), ('author', 'uakci')])];0;OrderedDict()
B4pMirQWb;False;2018-09-17T23:13:03.000Z;uakci;['mı Hỏemāı'];False;[];;;;;;[];[];[];[{'language': 'eng', 'definition_type': 'informal', 'definition': '▯ is @solpahi.', 'notes': [], 'gloss': '', 'keywords': ''}];[];[];[];[];[];[];[];[];[];0;OrderedDict()
mXXJ3NuzM;False;2018-09-18T13:47:27.000Z;Ilmen;['kulō'];True;[];;;;;;[];[];[];[{'language': 'eng', 'definition_type': 'informal', 'definition': '▯ is a mosquito.', 'notes': [], 'gloss': '', 'keywords': ''}];[];[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2019-05-12T21:12:32.276Z'), ('author', 'Hoemai')])];2;OrderedDict([('Hoemai', 1), ('Ilmen', 1)])
5ERB0NX5B;False;2018-09-18T18:27:47.000Z;spreadsheet;['fıamē'];True;[];;;;;;[];[];[];[{'language': 'eng', 'definition_type': 'informal', 'definition': '▯ is the sequence beginning with ▯ (followed by ▯ (followed by ▯ (…)))', 'notes': [], 'gloss': '', 'keywords': ''}];[];[];[];[];[];[];[];[];[];2;OrderedDict([('Ilmen', 1), ('uakci', 1)])
GBPhD8Uvkr;False;2018-09-18T18:27:50.000Z;spreadsheet;['rıaıkūq'];True;[];;;;;;[];[];[];[{'language': 'eng', 'definition_type': 'informal', 'definition': 'argue that', 'notes': [], 'gloss': '', 'keywords': ''}];[];[];[];[];[];[];[];[];[OrderedDict([('content', '-1, spatial metaphors for #riai are not valid.'), ('date', '2018-12-29T21:03:37.000Z'), ('author', 'uakci')]), OrderedDict([('content', '+1 YOU are not valid'), ('date', '2019-01-24T12:16:07.000Z'), ('author', 'seaqtaq')])];0;OrderedDict([('uakci', -1), ('seaqtaq', 1)])
DIVfLlzwzR;False;2018-09-18T18:27:51.000Z;spreadsheet;['mu choqdāı'];False;[];;;;;;[];[];[];[{'language': 'eng', 'definition_type': 'informal', 'definition': 'available', 'notes': [], 'gloss': '', 'keywords': ''}];[];[];[];[];[];[];[];[];[];0;OrderedDict()
bW2jV1ZKkg;False;2018-09-18T18:27:53.000Z;spreadsheet;['rıodūo'];True;[];;;;;;[];[];[];[{'language': 'eng', 'definition_type': 'informal', 'definition': 'blow (vi)', 'notes': [], 'gloss': '', 'keywords': ''}];[];[];[];[];[];[];[];[];[];0;OrderedDict()
t1TIuybMTu;False;2018-09-18T18:27:53.000Z;spreadsheet;['teasōıcāı'];False;[];;;;;;[];[];[];[{'language': 'eng', 'definition_type': 'informal', 'definition': 'brave\n\x1fcourageous', 'notes': [], 'gloss': '', 'keywords': ''}];[];[];[];[];[];[];[];[];[];0;OrderedDict()
PizltdJQg6Q;False;2018-09-18T18:27:54.000Z;spreadsheet;['rıocīu'];True;[];;;;;;[];[];[];[{'language': 'eng', 'definition_type': 'informal', 'definition': 'burp/fart ()', 'notes': [], 'gloss': '', 'keywords': ''}];[];[];[];[];[];[];[];[];[];0;OrderedDict()
odd6W7gnyv5;False;2018-09-18T18:27:54.000Z;spreadsheet;['deaqnīetūa'];True;[];;;;;;[];[];[];[{'language': 'eng', 'definition_type': 'informal', 'definition': 'bury', 'notes': [], 'gloss': '', 'keywords': ''}];[];[];[];[];[];[];[];[];[];0;OrderedDict()
