id;official;date;author;toaq;is_a_lexeme;audio;class;frame;distribution;generics;noun_classes;slot_tags;tags;examples;target_language;definition_type;definition;notes;gloss;keywords;segmentation;etymology;related;derived;synonyms;antonyms;hypernyms;hyponyms;comments;score;votes
3B8cXZhFq;False;2018-10-15T12:51:55.000Z;uakci;lo;True;[];;;;;;[];[];[];eng;informal;"prefix ternary operator: bind second and third places of following predicate to the noun phrases that follow; ke V N N ∈ RAI.";['(fork of #d6KdxLojd)'];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
hpisR-GbA;False;2018-10-27T21:36:16.000Z;Ilmen;???;True;[];;;;;;[];[];[];eng;informal;▯ is flaccid.;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', 'bump'), ('date', '2020-01-10T21:11:02.121Z'), ('author', 'uakci')])];0;OrderedDict()
e_YQiONMa;False;2018-10-29T12:20:52.000Z;Ilmen;???;True;[];;;;;;[];[];[];eng;informal;▯ is supposed to be/do ▯.;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
82FhaRsoz;False;2018-10-30T05:41:50.000Z;uakci;???;True;[];;;;;;[];[];[];eng;informal;"▯ is transcendent; ▯ transcends ▯; ▯ outruns ▯ in many or all aspects of property ▯ (default: lî jỉq hóa).";[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
p6PIKv0c4;False;2018-11-17T20:44:05.000Z;uakci;tueq;True;[];;;;;;[];[];[];eng;informal;"▯ is limited in that it cannot reach satisfying p’ty ▯ (never in a given timeframe); ▯ has limit ▯.";[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', 'this definition has the advantage of being able to accept both an event and a concrete object as x1, i.e. ‘Eating is limited (x2 vague)’ as well as ‘I’m limited in eating (x2 = to eat too much).’'), ('date', '2018-11-17T20:45:52.000Z'), ('author', 'uakci')])];0;OrderedDict()
xEF4BEb7t;False;2018-11-22T13:13:06.000Z;Ilmen;luaqgūo;True;[];;;;;;[];[];[];eng;informal;▯ is a turn in game ▯.;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
LxX5yEHYY;False;2018-12-26T16:34:44.000Z;uakci;gıqtūa;True;[];;;;;;[];[];[];eng;informal;"▯/c does ▯/0 after having done ▯/0 in order to revert ▯/0 to its previous state; ▯, by doing (making happen) ▯, undoes ▯, bringing back ▯.";[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2018-12-26T16:34:48.000Z'), ('author', 'uakci')])];1;OrderedDict([('uakci', 1)])
R7nojBdWS;False;2018-12-26T21:49:36.000Z;uakci;pojeo;True;[];;;;;;[];[];[];eng;informal;"▯ (person) is right; ▯ a raison.";[];;;;[];[];[];[];[];[];[];"[OrderedDict([('content', ""also '▯ hat Recht.'""), ('date', '2018-12-26T21:50:33.000Z'), ('author', 'uakci')]), OrderedDict([('content', '+1'), ('date', '2019-01-29T21:21:28.000Z'), ('author', 'seaqtaq')])]";0;OrderedDict([('seaqtaq', 1), ('uakci', -1)])
W8PrKTPOc;False;2018-12-30T06:06:26.000Z;fagri;haogāq;True;[];;;;;;[];[];[];eng;informal;"▯ keeps ▯ company; ▯ stays with ▯ so they will not be lonely";[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2019-05-19T21:10:58.819Z'), ('author', 'seaqtaq')]), OrderedDict([('content', '-1 – I’m not particularly fond of the hao'), ('date', '2019-06-16T17:04:49.143Z'), ('author', 'uakci')])];0;OrderedDict([('seaqtaq', 1), ('uakci', -1)])
_Ro6QZVXW;False;2019-01-05T16:38:03.000Z;Ilmen;???;True;[];;;;;;[];[];[];eng;informal;▯ disturbs ▯.;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
wldHnoEcD;False;2019-01-05T16:40:38.000Z;Ilmen;???;True;[];;;;;;[];[];[];eng;informal;▯ is an ethny.;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
XuQUl2kwL;False;2019-01-09T02:14:11.000Z;fagri;koelāo;True;[];;;;;;[];[];[];eng;informal;▯ waits their turn to do ▯;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
