id;official;date;author;toaq;is_a_lexeme;audio;class;frame;distribution;generics;noun_classes;slot_tags;tags;examples;target_language;definition_type;definition;notes;gloss;keywords;segmentation;etymology;related;derived;synonyms;antonyms;hypernyms;hyponyms;comments;score;votes
GJLRGOslx;False;2018-09-17T22:15:56.000Z;solpahi;kuepāq;True;[];;;;;;[];[];[];eng;informal;"▯ is a chapter; ▯ is a chapter of book ▯.";['(fork of #n6bXVbhwV)'];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
Z8ZiSdPlRU;False;2018-09-18T18:28:09.000Z;spreadsheet;heqmūo;True;[];;;;;;[];[];[];eng;informal;full  (contain complete);[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
Fi88zCH1An;False;2018-09-18T18:28:14.000Z;spreadsheet;gıdāıtūe;False;[];;;;;;[];[];[];eng;informal;have the opportunity to;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
NNxJZb7cjb;False;2018-09-18T18:28:43.000Z;spreadsheet;tıshā;True;[];;;;;;[];[];[];eng;informal;reach;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
gF_vImynIj;False;2018-09-18T18:28:44.000Z;spreadsheet;juq;True;[];;;;;;[];[];[];eng;informal;receive;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
FN3iVcScG;False;2018-09-18T20:45:21.000Z;Ilmen;tıbūmēo;True;[];;;;;;[];[];[];eng;informal;"▯ misses ▯; ▯ is sad that ▯ is not there.";[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2019-06-20T15:07:35.767Z'), ('author', 'uakci')])];1;OrderedDict([('uakci', 1)])
yXBeLlHeW;False;2018-09-24T03:52:58.000Z;fagri;soq;True;[];;;;;;[];[];[];eng;informal;"(fork of official) predicate: ▯, among ▯, is the ▯est;  ▯, among ▯, satisfies property ▯ the most";[];;;;[];[];[];[];[];[];[];"[OrderedDict([('content', 'This is great, because it behaves much more nicely in serial predicates.  +1 ;)'), ('date', '2018-09-24T03:53:41.000Z'), ('author', 'fagri')]), OrderedDict([('content', '+1!'), ('date', '2018-09-24T04:59:19.000Z'), ('author', 'uakci')]), OrderedDict([('content', '+1 ♥'), ('date', '2019-02-12T19:34:48.000Z'), ('author', 'lynn')])]";4;OrderedDict([('fagri', 1), ('uakci', 1), ('lynn', 1), ('akesi', 1)])
ypIf3LarK;False;2018-09-26T12:26:28.000Z;Ilmen;burūaq;True;[];;;;;;[];[];[];eng;informal;▯ denies ▯.;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2019-06-20T12:44:59.571Z'), ('author', 'uakci')])];2;OrderedDict([('uakci', 1), ('Ilmen', 1)])
lbGOzrJ7o;False;2018-10-02T21:54:11.000Z;Ilmen;shıukūnē;True;[];;;;;;[];[];[];eng;informal;▯ is a raccoon.;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
cqEKlFD6g;False;2018-10-08T17:33:53.000Z;uakci;leoq;True;[];;;;;;[];[];[];eng;informal;▯ is unlikely/improbable.;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', 'No, this word doesn’t mean ‘lion.’'), ('date', '2018-10-08T17:34:12.000Z'), ('author', 'uakci')])];0;OrderedDict()
wq4YEDkWA;False;2018-10-08T20:40:11.000Z;Ilmen;choqkīu;True;[];;;;;;[];[];[];eng;informal;"▯ is available; ▯ is available for being or doing ▯.";[];;;;[];[];[];[];[];[];[];[];1;OrderedDict([('uakci', 1)])
zBlUX7QjW;False;2018-10-15T08:22:18.000Z;uakci;be;True;[];;;;;;[];[];[];eng;informal;"prefix binary operator: bind second place of following predicate to the noun phrase that follows; be V N ∈ RAI.";[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
AzfzZVvWz;False;2018-10-15T12:54:28.000Z;uakci;ke;True;[];;;;;;[];[];[];eng;informal;"linking word: ‘4th.place’; linking word: 4th argument place [present in the manual but absent from the official wordlist]";[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2018-12-08T14:54:45.000Z'), ('author', 'uakci')]), OrderedDict([('content', 'this word now defunct.'), ('date', '2020-06-12T20:31:18.742Z'), ('author', 'magi')]), OrderedDict([('content', 'use **ta** instead'), ('date', '2020-06-12T20:31:42.548Z'), ('author', 'magi')])];0;OrderedDict([('uakci', 1), ('Hoemai', -1), ('magi', 0)])
