id,official,date,author,toaq,is_a_lexeme,audio,class,frame,distribution,generics,noun_classes,slot_tags,tags,examples,target_language,definition_type,definition,notes,gloss,keywords,segmentation,etymology,related,derived,synonyms,antonyms,hypernyms,hyponyms,comments,score,votes
Zc4vpvM0s,False,2019-01-25T22:11:09.000Z,uakci,raı,True,[],,,,,,[],[],[],toa,informal,dỏshī dóshī da,[],,,,[],[],[],[],[],[],[],[],0,OrderedDict()
pdcq2CLn1,False,2019-01-25T22:22:29.000Z,uakci,nı,True,[],,,,,,[],[],[],toa,informal,"gảıkīu dóshī, na ru lủ pủjūı cẻo rảqkūq jí hóa na dóshī da.",[],,,,[],[],[],[],[],[],[],[],0,OrderedDict()
bjKo8aYb6,False,2019-01-25T22:42:55.000Z,uakci,jı,True,[],,,,,,[],[],[],toa,informal,kủq dóshī ní tỏamē da,[],,,,[],[],[],[],[],[],[],[],0,OrderedDict()
O3-hEt4Gp,False,2019-01-25T22:45:06.000Z,uakci,suq,True,[],,,,,,[],[],[],toa,informal,shảo jí sî dóshī kûq jí ní tỏamē da,[],,,,[],[],[],[],[],[],[],"[OrderedDict([('content', '+1'), ('date', '2019-01-25T23:50:02Z'), ('author', 'seaqtaq')])]",1,"OrderedDict([('seaqtaq', 1)])"
akqe9y4Lj,False,2019-01-25T22:47:54.000Z,uakci,toa,True,[],,,,,,[],[],[],toa,informal,"mỉu sa ráı dóshī, na ru dẻq kủq ra kảı báq pỏq nỉtōaqchōq dóshī da",[],,,,[],[],[],[],[],[],[],"[OrderedDict([('content', 'sãhē bı, dảı mîu sa ráı dóshī na ra dôa sa ráı lî mỉu sa ráı ja dó na dóshī da'), ('date', '2019-01-25T22:50:05Z'), ('author', 'uakci')])]",0,OrderedDict()
KCBaN2owu,False,2019-01-25T22:58:37.000Z,uakci,toaı,True,[],,,,,,[],[],[],toa,informal,"tu lú pảq hóa dógū pa, bủ hủaq sảo dóshī da",[],,,,[],[],[],[],[],[],[],[],0,OrderedDict()
dlW-g_kok,False,2019-01-25T23:01:44.000Z,uakci,bu,True,[],,,,,,[],[],[],toa,formal,gıq #jẻo,[],,,,[],[],[],[],[],[],[],[],0,OrderedDict()
HWnjMd3kM,False,2019-01-26T10:52:06.000Z,uakci,leo,True,[],,,,,,[],[],[],toa,informal,"sa dó bı tảo dóshī dó, na ru kủaı dóshī lî tảo ja kúaı dógū chà tâo dóshī dó, na na na ru kẻorū dâı bủ dẻq tảo dóshī dógū da.",[],,,,[],[],[],[],[],[],[],"[OrderedDict([('content', '+1'), ('date', '2019-01-26T10:52:28Z'), ('author', 'uakci')])]",0,"OrderedDict([('uakci', 1), ('Ilmen', -1)])"
6OXcLA04z,False,2019-01-26T10:53:56.000Z,uakci,deq,True,[],,,,,,[],[],[],toa,formal,#daı #tảo,[],,,,[],[],[],[],[],[],[],[],0,"OrderedDict([('Ilmen', -1), ('uakci', 1)])"
1WxqFkcdR,False,2019-01-26T10:54:18.000Z,uakci,kuaı,True,[],,,,,,[],[],[],toa,formal,#taq #shảo #jẻo,[],,,,[],[],[],[],[],[],[],[],0,OrderedDict()
