id;official;date;author;toaq;is_a_lexeme;audio;class;frame;distribution;generics;noun_classes;slot_tags;tags;examples;target_language;definition_type;definition;notes;gloss;keywords;segmentation;etymology;related;derived;synonyms;antonyms;hypernyms;hyponyms;comments;score;votes
sIfc6j_Io;False;2018-09-24T04:39:38.000Z;uakci;jıaohūı;False;[];;;;;;[];[];[];eng;informal;"▯ is blasphemy; ▯ commits blasphemy ▯.";['(fork of #VRpFtCyZB)'];;;;[];[];[];[];[];[];[];[OrderedDict([('content', 'credits to @fagri'), ('date', '2018-09-24T04:39:50.000Z'), ('author', 'uakci')]), OrderedDict([('content', '+1'), ('date', '2018-09-24T04:40:00.000Z'), ('author', 'fagri')])];0;OrderedDict([('fagri', 1), ('uakci', -1)])
dxnVRP3Gm;False;2018-10-03T14:19:01.000Z;lynn;guaqdīu;True;[];;;;;;[];[];[];eng;informal;▯ is topography.;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2019-01-27T05:46:00.000Z'), ('author', 'seaqtaq')])];1;OrderedDict([('seaqtaq', 1)])
KQC9_p1YT;False;2018-10-07T15:48:45.000Z;uakci;sıshāı;False;[];;;;;;[];[];[];eng;informal;"▯ faints; ▯ drops unconscious.";[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
46CV57Aje;False;2018-10-11T20:02:15.000Z;uakci;meq;True;[];;;;;;[];[];[];eng;informal;pre-prepositional nominaliser: transform the following prepositional phrase into a side statement of the inside noun’s satisfying of property of the containing clause, where the lambda variable is to be placed in the expected position, as if the meq-clause were itself one noun (which still participated in the containing clause).;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', 'example: ‘chủq jí meq mào hóq da’ → ‘chủq jí hóq’ (main assertion) + ‘mảo hóq lî chủq jí ja dó’ (side assertion introduced by ‘meq’).'), ('date', '2018-10-11T20:04:35.000Z'), ('author', 'uakci')]), OrderedDict([('content', 'https://uakci.pl/wiki/experimental#meq'), ('date', '2019-01-25T19:11:27.000Z'), ('author', 'uakci')]), OrderedDict([('content', 'updated link: https://uakci.eu/wiki/experimental.html#meq'), ('date', '2020-06-13T19:30:34.950Z'), ('author', 'ykulvaarlck')])];0;OrderedDict()
3B8cXZhFq;False;2018-10-15T12:51:55.000Z;uakci;lo;True;[];;;;;;[];[];[];eng;informal;"prefix ternary operator: bind second and third places of following predicate to the noun phrases that follow; ke V N N ∈ RAI.";['(fork of #d6KdxLojd)'];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
hpisR-GbA;False;2018-10-27T21:36:16.000Z;Ilmen;???;;[];;;;;;[];[];[];eng;informal;▯ is flaccid.;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', 'bump'), ('date', '2020-01-10T21:11:02.121Z'), ('author', 'uakci')])];0;OrderedDict()
e_YQiONMa;False;2018-10-29T12:20:52.000Z;Ilmen;???;;[];;;;;;[];[];[];eng;informal;▯ is supposed to be/do ▯.;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
82FhaRsoz;False;2018-10-30T05:41:50.000Z;uakci;???;;[];;;;;;[];[];[];eng;informal;"▯ is transcendent; ▯ transcends ▯; ▯ outruns ▯ in many or all aspects of property ▯ (default: lî jỉq hóa).";[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
s9B4sDxcU;False;2018-11-03T23:36:04.000Z;uakci;lımēq;True;[];;;;;;[];[];[];eng;informal;▯ bloats dictionary ▯ with miscellaneous coinages ▯. ;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
p6PIKv0c4;False;2018-11-17T20:44:05.000Z;uakci;tueq;True;[];;;;;;[];[];[];eng;informal;"▯ is limited in that it cannot reach satisfying p’ty ▯ (never in a given timeframe); ▯ has limit ▯.";[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', 'this definition has the advantage of being able to accept both an event and a concrete object as x1, i.e. ‘Eating is limited (x2 vague)’ as well as ‘I’m limited in eating (x2 = to eat too much).’'), ('date', '2018-11-17T20:45:52.000Z'), ('author', 'uakci')])];0;OrderedDict()
